label,Near earth,Magnitude,Eccentricity,Semi-major axis (AU),Perihelion distance (AU),Rotation period (s)
(AO34),N,13.8,0.0319,3.1428,3.0426,
(AO4),N,13.5,0.1049,2.7422,2.4544,12888
(AO5),N,12.8,0.1897,3.1251,2.5324,41421.6
(AO5),N,13.6,0.1961,2.5272,2.0315,
(AO50),N,12.6,0.0169,5.1834,5.0959,33782.4
(AO50),N,13.2,0.074,3.0354,2.8108,
(AO7),N,13.9,0.0472,3.0019,2.8602,
(AO96),N,13.4,0.1775,2.6907,2.2132,
(AO98),N,12.6,0.2248,3.9739,3.0808,
(AP),N,13.9,0.1722,2.5923,2.1459,
(AP107),N,13.6,0.0763,2.9232,2.7001,
(AP111),N,13.1,0.0836,5.2036,4.7687,
(AP119),N,13.5,0.0798,5.2175,4.8012,
(AP12),N,13.6,0.0727,2.7698,2.5685,
(AP126),N,12.6,0.0258,3.1364,3.0555,
(AP128),N,13.5,0.0613,3.2286,3.0307,
(AP137),N,13.9,0.0306,2.7834,2.6983,
(AP142),N,13.7,0.0808,2.9797,2.739,10663.2
(AP144),N,13.1,0.0142,2.6435,2.6059,
(AP164),N,13.3,0.0971,2.6911,2.4299,21600
(AP18),N,12.1,0.0974,5.2486,4.7374,
(AP196),N,13.7,0.0454,2.981,2.8458,
(AP20),N,13.9,0.1019,5.2476,4.7131,
(AP200),N,13.8,0.1981,3.0112,2.4148,
(AP21),N,11.3,0.0528,5.1947,4.9202,
(AP237),N,13.4,0.1929,2.9176,2.3549,
(AP240),N,13.7,0.1372,3.0955,2.6708,
(AP243),N,12.7,0.0373,3.1625,3.0446,
(AP26),N,13.7,0.0395,3.436,3.3003,
(AP29),N,13.8,0.0625,3.0741,2.8818,
(AP29),N,13.5,0.215,2.6013,2.042,
(AP3),N,13.5,0.1083,3.2031,2.856,
(AP31),N,12.5,0.0839,5.1691,4.7355,
(AP33),N,11.2,0.1325,5.2538,4.5579,
(AP39),N,12.5,0.1733,3.1559,2.609,
(AP84),N,12.1,0.1486,5.2188,4.4432,
(AP85),N,13.1,0.1327,5.1737,4.4869,
(AP9),N,13.8,0.0372,2.9414,2.8319,
(AQ),N,12.6,0.1558,3.2099,2.7097,567961.2
